text,label
So the new update does not let me listen to music and go on whatsapp at the same time,technical
Please help Spotify Premium skipping through songs constantly on android tablet amp bluetooth speaker Tried everything,technical
Once the points load and you hit the number you get it immediately Youll even receive a congrats email Are you almost there AC,other
Uk offlicense law is 18 Not 25,legal
causing the reply to be disregarded and the tapped notification under the keyboard is opened,technical
First flight for long time with Now over one 1h delay for the short jump FRALCY and NO one here to provide status updates,delivery
Wed like to help What happens when you try to listen to Apple Music amp use WhatsApp Does the music pause Let us know in DM,account
I guess this means free cable for the neighborhood,other
We can help Which version of iOS are you on You can find that in Settings gt General gt About Reply in DM,technical
problem has come back again today is there some kind of bug,technical
Wed like to help if we can When did this start happening Which version of iOS are you running currently,technical
I understand this is a frustrating experience please send a DM with your account information so I can look into this matter for you AD,account
Hey Sara sorry to hear of the issues you are having can I ask if its the lay out or just the speed of the website responding TY Chris,technical
I appreciate its after 1530 now so hopefully you will depart very soon Were sorry for any inconvenience the delay has caused 22 JR,other
hi apple Ive a concern about the latest ios is too slow on iphone6 and i am not happy with it Any solution please,other
see attached error message Ive tried leaving a voicemail several times in the past week,technical
No but Ive moved speaker to about 1 metre away and its not skipping at the mo it was about 3 or 4 metres away before Fingers crossed,other
Okay I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,other
Lets take a look What is the exact iOS youre using Are you using any specific apps when noticing this DM us your reply,service
I am sorry for the poor experience Can you please DM the full service address and name on the account as we ass,account
Hi there What device is this happening on If you could also let us know the Android and Spotify versions youre using thatd be great AY,technical
Hi Thomas if a colleague believes the person buying alcohol looks under 25 they will be challenged for ID to prove theyre of age Paige,other
Done all that Still telling me there are no delivery slots whatsoever,delivery
Can you get my iPhone 7plus back on the old iOS please Battery runs out in half the time apps now frequently crash,technical
Wed like to help Sam which number is calling you Please DM us more info so we can advise further,service
Me too am suffering hope the can find a solution,other
Its just in my yard Ive called 45 times in 6 weeks Im not a customer but its pretty tempting I do have some coaxial,other
Maybe hire colleagues who can see,other
Wed be happy to help Send us a DM and we can start there,service
Hi there as long as you sign out of your account prior to deleting your cache amp cookies youll still have a full basket Thanks Mike,account
Thats what were here for Miriam The team should send you an email shortly HP,other
The point is if its enforced they do it properly or they dont Plus take some commonsense and think does that person look over 18,other
Have you tried from another device Miriam MM,other
seems to be working at this stage Will let you know if it happens again Cheers,other
Got it Can you try the steps here for us They should help with this Let us know how it plays out AY,service
Thanks Version 8422857 armv7 on anker bluetooth speaker on Samsung Galaxy Tab A 2016 Model SMT280 Does distance from speaker matter,technical
Thanks for giving us a nudge about this What device operating system and Spotify version is this happening on AY,technical
I received this a few weeks ago since then Ive been getting 23 calls a day from a telemarketer Is someone using your name,other
Its working OK from here Miriam Does this link help MM,service
Hey your websites broken Its telling me there are no delivery slots for the next 3 weeks which I find slightly unlikely,delivery
Battery life is important and were here for you DM us the iOS version your iPhone is running Well go from there,technical
Thats great to hear If anything comes up just let us know Well carry on helping out AY,service
Will I lose all the shopping Ive done if I delete the cachecookies not using app,other
Were sorry your flight has been delayed Beatner Are you travelling on the BA8733 If so the updated departure time we have is 1530 12,technical
Thanks for reaching out to us We are always happy to help Send us a DM so we can look into this together,service
Thanks for reaching out to us We are always happy to help Send us a DM so we can look into this together,service
after the 1102 my phone just sucks most of the apps are broken wifi disconnects frequently apple ios1102 painfulupdate,technical
LiveChat is online at the moment or contact 031 031 option 1 4 3 Leave a message to request a call back,other
Thanks The distance could possibly affect playback Does logging out gt restarting your device gt logging back in make a difference AY,other
I service last 40 min sprint can I get a refund,pricing
