,text,label
0,"@AppleSupport Basically for a chat to be opened from call log, the message app should be opened/running in background. Otherwise, it takes twice.",technical
1,"@AppleSupport iOS 11.02 and Watchos4.0: No icon for Twitter notifications. Restart of iphone/watch, notif. off/on does not help. What to do? https://t.co/Jd98V9OvIu",technical
2,"Dear god not again,@AppleSupport https://t.co/5Zf0Mnd6SI",other
3,"@ATVIAssist Hi there! If I buy Call of Duty WWII on steam today, do I have instant access to the open beta multiplayer?",other
4,Hi @Safaricom_Care why can't I pay my my Dstv texts says the Org is unavailable,technical
5,trying to buy my kid nibling a keyboard for an upcoming birthday - why is the pink one more expensive than the blue one??? @116062 https://t.co/DuRHF6ntXV,pricing
6,@GWRHelp  https://t.co/EzzirrQuyS,other
7,"@131749 recibi llamadas de celulares 3113552287 y 3114248440 de supuestos representantes suyos, avisando q me gané unos cupones hoteleros, solo tenía q revalidar la info de mi tarjeta. Ojo! Súper estafa!",other
8,"@GloCare hi for 2days now I have not being able to make calls,text or even check my balance. As soon as I try making a call d line cuts..",technical
9,@AmazonHelp Are you guys having problems with the launch of Amazon Music in Canada?  Keeps saying my session has expired.  Already cleared cookies and temp files. Please Help! https://t.co/1r8mdH5ABB,technical
10,WTH HULU!?!?! You LIEEEE https://t.co/4U4nlbGPXX,other
11,annoyed AF @115873 double charged me for a ride i took almost a month ago! thanks for talking my phone bill money 🙃 @Uber_Support SECOND time ive been double charged,pricing
12,"@sainsburys Just found a dead fly (ironically, not in soup) but in a Sainsbury's Caesar Salad. Not specified in the contents of the dressing.... but presumably drawn in by the Nectar Points? https://t.co/BD4ZplQDTG",service
13,@British_Airways any ideas what a/c  are operating the BA845 &amp; BA209? :),other
14,@115888 being able to chat with your friends about what they are listening to would be tight as fuck,technical
15,@Uber_Support why is my passenger account disabled?,account
16,@British_Airways yo I was wondering can I bring cereals with me on the plane please I’m not even kidding 😂,other
17,@SW_Help @119696 @749365 I realise that. I've lived here for many years. I've tolerated the enormous daily hassle of the redevelopment. But no thought has been given to handling rugby crowds. It's unacceptable and unsafe.,service
18,"@XboxSupport Achievement has unlocked on Forza while I was playin offline due to internet issue,Now back live &amp; achievement is still locked",technical
19,"@AppleSupport Hi, I topped up my iTunes credit today via pre paid voucher. It went through but the credit balance on my iTunes is still showing my old balance but the credit balance on my App Store is showing my new credit balance. Why are the credit info different? Please advise",pricing
20,@TMobileHelp No thank you T-Mobile... I have already been through this... enough is enough...,other
