text,label
We have a week to travel suggestions Pefer warm but open to adventure,other_uncategorized
Wärst du stattdessen auch mit der Böhmischen Schweiz zufrieden Diese sollte auf der tschechischen Seite liegen Gruß MH,other_chitchat
Then stop sending them to my Private Sprint number,other_uncategorized
Para cuando las 3as temporadas de Mr Robot y Mozart,other_uncategorized
Dear my apologies for the strong language last night I was very upset and angry about the way I was treated I will submit a complaint and hope that action will be taken Making a vulnerable person stuck and alone in London is despicable,other_language_issues
sorted thank you,other_uncategorized
The issue reported has been escalated for resolution Kindly be patient TT,other_uncategorized
Is anyone elses iPhone switching up the letter i to I,other_chitchat
Were so glad to have shared the skies with you two Kevin Lets share another adventure at 35000 feet soon AB,other_uncategorized
No answer at all Feels like you dont really care about abandoning customers more than 300 miles from home virgintrains,other_uncategorized
can you guys please fix the videos to fill the iPhone X screen Netflix has done this already why not you guys,other_chitchat
How long will that take,other_general_question
What is the journey please Michael Jordan,other_general_question
Hi Cade yes sorry I have now followed you so could you DM the info that my colleague asked for I can then look into this further for you Kindest regards Hannah,other_chitchat
I just made my first car and insurance payment For the first time in a long time I just got a notification from chase reading your account is under 5000 Thanks for making me depressed chase,payment
Please send me a direct message DM with your account number and I will be able to help you with your internet service issues Chad,account
amp reply so that we can provide you an update 22EM,other_uncategorized
Lets hope so,other_uncategorized
anyway got off now Another revenue fraud but hey ho,legal
Do you think Ill be able to ask for super charger sauce in it,payment
No problem I had to throw it away Im allergic to tomatos and Im just glad I opened it up,other_uncategorized
I need advice Someone got ahold of my bank account info and used it to charge money at WalMart I have called the bank and gotten things,payment
配送業者へ直接お伝えもいただいているとのことご迷惑ならびにご不快の念を招いてしまいましたことをお詫びいたします配達時間につきましては当サイトにおきましても担当部署を通じて報告指導を行わせていただきますMH,other_uncategorized
You incorrectly charged my Oyster on Sat morning 3 phone calls later you still have not refunded me not_acceptable NoCustomerCare,payment
the updated Hulu app on Roku is terrible I dont even open the app anymore it is that poorly designed Happy to detail why,other_general_question
Hi That is not the experience we want for you For support please DM your full address and account name Erica,account
u told me ur account will back tomorrow but u dont told me any time will back plz 1200am Plz told me,account
Hi Joanna could you DM me on the below link your postcode please Ill have a look into this Mariya,other_chitchat
20 miles statuts chez amp 15 statuts chez les autres commerçants,other_uncategorized
True,other_uncategorized
Hi please advise on how I claim compensation for a delayed train without still having the ticket The ticket was inserted into the barrier to exit the station Thanks,delivery
Lets take a deeper look into this Please send a DM to us with the current country youre in,other_chitchat
Merci pour votre réponse rapide mais le problème est surtout un problème lié à et à la qualité de leurs services Dailleurs ils ne mont toujours pas répondu devrait faire plus attention à ses filiales customercare CustomerExperience CustomerService,other_uncategorized
hi I purchased some diced chicken thigh from your Eltham branch whilst cooking I found glass in the packet,other_chitchat
Hey tell Activsion to get their servers fixed a month with real World War 2 servers is sad alone in HQ AGAIN cant get in ANY lobby like WTF,other_incomplete_or_unclear
Wow really Thats unacceptable This is my first and last order on Talk about a circus,other_chitchat
can you help please I need to get in contact with staff at cov train station regarding a season ticket refund due to an 12,payment
The best part of our day is seeing you Stop by again anytime Kendall,other_uncategorized
I must try this DELICIOUS szechuan sauce and see for myself if its worth it,other_chitchat
Bonjour les Amazons Pouvez vous me dire ce quil se passe avec la sortie en BluRay du film OPERA par Le chat qui fume,other_uncategorized
thanks for the heads up Was looking into using them to fly to Virginia,other_uncategorized
I dont recommend it Tara,other_uncategorized
Hello I would be more than happy to assist you Please send me a DM Katie,other_chitchat
Btw was listening to on my desktop wanted to listen on the go so I connect headphones to phone desktop stops playing music and phone starts instead ux,other_uncategorized
Awesome Such classic titles If you have any Xbox Support questions that we can help with let us know TJ,service
Whenever you have an issue with an order or delivery please let us know Were here for you AM,delivery
No you dont then looking at that list Thanks anyway Ill have to look elsewhere for the lump sum but will apply for the regular saver,other_general_question
Norton sent me an alert regarding KRACK which has capabilities of compromising my WIFI are you aware,other_chitchat
Here to help Send us a note here so we can further assist,other_uncategorized
Thank you,other_uncategorized
Yay,other_uncategorized
Happy mail Thank you for the FOUR complimentary coupons Youve made this loyal customer very happy,other_chitchat
Wasnt gonna bother w this coupon cause I knew better soon as it said redeem online But theres a Panda Express at the mall Now Im mad I cant redeem it,other_chitchat
Thanks for sharing your details Well reach out to you at the earliest SA,other_uncategorized
Hey thanks for charging me 5 to stand in the rain waiting for your driver to never show up uber scam thieves reportingtocity,legal
Do NOT bank with Close your account Terrible customer service illogical business practices amp they do NOT care about you,account
what are the off peak times travelling from DurhamYork and back,other_general_question
another Saturday with no meat on shelves nothappy,other_uncategorized
Its iPhone 1033 and its 8422515 Thank you,other_uncategorized
Hi oh je Das wollten wir bestimmt nicht Gibt es noch Klärungsbedarf Viel wichtigerbist du uns böse AK,other_chitchat
It scrolls to old episodes but I am not able to see new episodes,other_uncategorized
Why cant the snooze interval on the iPhone be changed,other_general_question
We caught you on CCTV Mark Glad you got there in time BM,other_uncategorized
We want every flight to be a good one and were always here if you need extra assistance We look forward to another opportunity soon,other_uncategorized
Apologies for this Jay earlier delays at York have had a knockon effect KM,other_chitchat
what is up with the smell on flight 1448 The smell of urine is penetrating the air to the point we are nauseous Everyone is complaining and not one attendant has said a word,other_general_question
Hey Erik We can help out in English via Twitter Weve just sent a DM your way Lets carry on chatting there CG,other_language_issues
The parking twitter account is a parody account just having a giggle nothing to do with me old girl,account
Los servidores estan molestando cuando los pueden arreglar porfa,other_uncategorized
trying to turn in a device in store I am being told that it was filed wrong upon creating the transaction so I should just purchase it and sell it Uhm How about NO let me turn it in and not pay 17999 What are we going to do TMobile,other_general_question
I hope you and every single one of your drivers burn in the fiery pits of hell for eternity you are the worst service I have ever used Been stranded at Walmart for a fucking hour and cant even request anymore rides cause ur drivers cancel on me,other_uncategorized
Hi Carson To further assist you with your concern itd be best to get in touch with our Xbox Support Experts using this link You may also send them a DM here Let us know how it goes,service
knows that can you please ask him if he have time to say sorry again,other_chitchat
Excellent that worked,other_uncategorized
I believe its 4th gen Model A1625 64 GB,other_uncategorized
Im sorry to hear about your delay Please DM your flight details and Ill see if I have any updated information for you CBK,other_uncategorized
Sorry to hear this If she speaks to staff at the station theyll be able to help her reach her destination,other_chitchat
Only the best for you Kate Lets have a breakfast date soon,other_uncategorized
Hello please provide the affected mobile number via DM for checks and assistance Thank you,other_chitchat
Whats happened exactly Paul Are you wanting to transfer your number from a previous Pay amp Go SIM Let us know wed like to help,other_general_question
When the direct flights between HKT and KKC working,other_general_question
Yello Aubry Sincèrement désolé mais la promo est finie Mais ditesnous quelle offre serait adaptée à votre consommation effective,other_uncategorized
Im sorry Liza If you DM me your confirmation code Ill try to get info Julie,other_uncategorized
do ur drivers not knockJust watched a driver drop a parcel over my fence ampdestroy my plants on the other sideDidnt even knock,other_uncategorized
can affect the railway can be found here CM 22,other_uncategorized
Just been woken up by loud banging on my front door Have to find keys unlock door Airbnb guest A night early I booked from 30th because its gone midnight so its now the 30th Er thats not how it works Unbelievable,other_general_question
Why is my phone changing the letter I to and A and a question mark box,other_general_question
I have entered 75 Argos voucher giveaway,other_uncategorized
Tried that but as ive got 2 phones and neither is accepting or making calls figured it would be an O2 issue,other_uncategorized
So now my bill went up,other_uncategorized
Yes Its work right now thank you And now Im on tweeter,other_uncategorized
Hello Ngila we are still following it up with the merchant under a ticket 17QEYEXQ and we shall contact you once resolved 12,other_chitchat
Hello there I would be more than happy to look into this May you please Dm me your full service address and account number Rox,account
Locker noch mit kleinen Kinderkrankheiten Ansonsten aber ein guter Service amazonlockers,other_uncategorized
The app have been messing up so I deleted it to install again and it want let me install it,other_uncategorized
Amazonにクリソツな迷惑メールきてびっくりした アカウントのっとられたかと思ったカスーーー,other_uncategorized
It would be highly appreciated if you could resolve my issue,other_chitchat
Shoot for the and surprise your kids this Christmas with our amazing Specialbuys,other_chitchat
I am tho Whats your favourite dishes food to eat,other_general_question
We can certainly take a look at this with you Have you been able to restart your Mac since installing the last update,other_chitchat
not impressed with you leaving my bag at home when the flight wasnt even full annoyed,other_general_question
Pay monthly,other_uncategorized
get your shit together on cashiers checks It should not take 10 days to clear cash issued by another major Bank,other_chitchat
Hello Pseg replaced a pole in my backyard Can you tell me how I can schedule a transfer of the lines to the new pole Thanks,other_chitchat
Can someone to contact me please Not happy that this is being taken seriously Will I need to contact British Transport Police for CCTV,other_chitchat
Hi I never heard back from you Let me know if I can assist All the best Clarissa,other_chitchat
Hola gracias por contactarnos con gusto te asistiremos envíanos un DM para asistirte personalmente DG,other_uncategorized
Und aus ist der Traum einer reibungslosen Gamescom,other_uncategorized
