seq,text,label
59,@SpotifyCares everytime i try to listen to two artists in particular (knife party/deadmau5) it tells me the songs are not available,other
60,@116827 account charged for atm withdrawal but no money received... frustrating,payment
61,@377498 @377496 @115858 negative sir. from my past experience updating to a new iOS is usually the reason the phone goes to shit.,other
62,@AmericanAir I need your help. Stuck on flight1364 waiting on the tarmac in ORD cause of a maintenance issue on a plane at our gate. I need to make my connection to flight 1487.,technical
63,@AirAsiaSupport case number 00186136,other
64,Anybody else’s #xboxOne powering by itself randomly? @115786 @XboxSupport,other
65,"@comcastcares Is there something going on in Keizer, OR? Outage? Slowdown? Net service is slow on multiple devices &amp; having streaming issues",technical
66,@AmazonHelp amzl us,other
67,.@115725 You have the poorest service I have ever seen. 4 DAYS to get dial tone fixed. Wonder what those that don't have cell do?,other
68,@120533 gros probleme suite à un compte bloqué depuis 2 semaines !!! 7 coups de fils 3 emails un fax et rien !! Vive les plateformes à l'étrange ! En revanche vous savez prélever le prime alors que je n'ai rien demandé et pas la possibilité de refuser !!!! Merci !!!,technical
69,"@Delta Currently booked on DL1849, DL3796",other
70,@LondonMidland No trains from Blake St since 8.02!! Cancelled due to no drivers!! just on train now. Uni at 9am. Missed lecture! #refund,payment
71,@comcastcares Outage in my area? Any idea when it will be back up? Sacramento,other
72,"@115714 @427944 This is what I got, phone is in my cart, I am ready to pay!! UGH https://t.co/fua5iNjCtj",other
73,@BofA_Help Sorry I wasn't in the room I am now,other
74,@116062: will you create a “disaster registry” where fire victims can pick the items they need and anyone can fill them? Offer discounts?,pricing
75,"@AppleSupport Freezing basically all of the time. Apps are messing up, if i turn on airplane mode and then turn it off i can’t get service without restart",technical
76,@VirginTrains I’ve lost my tkt back to Wilmslow. I’ve got receipt and it’s on my app but your staff tell me too bad. Surely not right??,technical
77,@AmazonHelp I ordered a package to be delivered tomorrow but I’ve had a notification saying it’ll be a day late now,delivery
78,"@AmazonHelp prime membership says it’s suspended, updated payment method but still says it’s suspended? How do I fix it to get Prime back?",payment
79,I have yet to meet a @SouthwestAir employee who has not made my day better.,other
80,Our Bubby’s first flight in @Delta out of our favorite airport @6013. California Dreamin’ #notstaged https://t.co/W7mmwHn5o1,other
81,"@British_Airways my husband and I are flying to Texas for a friend’s wedding in December; it’s my husbands first trip to America! We’re going traveller plus, how much is the upgrade into business? Thank you",other
82,@Delta I truly appreciate you for taking a perfectly brand new piece of luggage and roughing it up to the best of your ability. Terrible! https://t.co/2H95WJ40Lr,technical
83,Love it when @115877 takes well over an hour when it says 20-25 mins 🙃,other
84,@AmazonHelp And there is was no reschedule from my side. You guys did yourself,other
85,@SouthwestAir over half of your ticketing kiosks are out of service at @138523. 6/16 work.,other
86,"@AmazonHelp Hello I ordered yesterday and I paid for it but I need to change the billing address, how can I do it?",payment
87,"@116230 I recently used my custom built PC to host, run and edit a Smash Bros 4 tourney called Smash Trinity recently https://t.co/KZofHeprxS",other
88,@SW_Help @115793 Nice of you to pin blame on someone else. I think you’ll find passengers don’t care who’s fault you think it is and would rather you worked together to fix it.,other
89,@AmazonHelp anything else?!?! This communication feels familiar,other
90,@AmazonHelp Aproveitei tanto que agr to pobre 😂🙈,other
91,@O2 So how do i trade in? What can you do to help? What can I do?,other
92,"@Safaricom_Care Thank you very much,  you've been most helpful",other
93,@ArgosHelpers Love2Shop say any of their retailers should refund back to the love2card and by not doing this breaches the retailers agreement,payment
94,@idea_cares want to port my number from @118343  to idea immediately please help @118343 store is the worst,other
95,Mason’s @ChipotleTweets pumpkin https://t.co/3rzIazXPvF,other
96,"@570635 @XboxSupport @570633 @3495 @125838 @141157 Issue has been corrected, NHL 17 is playable again within the vault! 👍",technical
97,"@AppleSupport And yes, I’ve restarted my phone, my WiFi, my home internet, the apps, my life, your life...",technical
98,@UPSHelp @115817 Why was my package “out for delivery” yesterday and then rescheduled for Monday ? I scheduled it on a Saturday for a reason!,delivery
99,@615414 @McDonalds @590398 They won't. They are not even giving Rick and Morty the credit they deserve for trying to bring it back,other
100,@AppleSupport Yes,technical
101,@UPSHelp what time do deliveries occur until on Saturdays?,other
102,@AmazonHelp @410950 What is ur business in this story.If ur friend have any concerns let he/she handles it unless you are authorised to do it.Amazon is the best,other
103,@738887 @VirginTrains I've still got the picture I think.,other
104,uber account has been hacked...what to do? @Uber_Support,other
105,@AmericanAir Really? Tell me why I qualified when I left EWR? &amp; why a colleague on the exact same Status as me qualified leaving COS on the same flight,other
106,Gets Amazon Prime and orders an item that qualifies for next day delivery. Get a despatched note saying it will be here Monday. Well that's no good is it @AmazonHelp !!!,delivery
107,@129941 Please explain https://t.co/slhcxVjhQD,other
108,@MicrosoftHelps -really dumb. They should have a feature where you can make widows turn off all reminders if you are using certain apps.,technical
109,Le envié un dm a la cuenta de @AmericanAir y estoy impresionada por la velocidad y calidad de la respuesta. Ojalá todos los CM fueran así.,other
110,@AmazonHelp Thanx.Actualmente calculo que el 60-70 las hago con vuestro servicio. Y satisfecho el 99% tan  por precio como por celeridad y servicio post,other
111,@VirginTrains I have and will be 50 minutes late which is too late for a crucial meeting. Day ruined. Thanks for your apology,delivery
112,"@AskLyft Great excuse ""The feedback alleged you made inappropriate or derogatory comments towards your driver."" I did not. Oh, and fuck you.",technical
113,@AzureSupport I wil check with my application vendor on how to proceed.,technical
114,@AppleSupport Im currently using 11.1.2,technical
115,When @Tesco give your click + collect to someone else 👏🏻 the main present your 6 year old daughter wanted from Santa,other
116,"@121513 @SW_Help Done already! Well I hope somebody finds it, shame there are so many possible areas it could have fallen out 😖",other
117,Yo @115858 what’s supp with these square boxed question marks it’s annoying,other
118,@CoxHelp Cable card and tuning adapter for my TIVO has been dead since Last Thursday here in Norman OK. Any info about what is going on?,other
119,@GWRHelp @152880 From where? Hardly anyone got off it at TWY?,other
120,"@115817 @UPSHelp Loving how you moved my delivery date, canceled my two-hour delivery window YET still kept my money...",payment
121,@115888 can you stop randomly unsaving songs that ive saved. My wifi gbs are crying. As am I. Tanks.,other
122,@AmazonHelp I need a compensation for sure.....its purely your fault,other
123,@British_Airways logged into manage my booking and getting  message saying no flights in the booking. Due to fly on Monday what's going on?,other
124,@AmazonHelp The delivery date given was December 4 - December 7! Is that why it hasn't been shipped out yet? ):,delivery
125,@XboxSupport I can sign In but won't let me join parties.,other
126,@MicrosoftHelps THIS SETTING NEVER WORKS. NEVER. https://t.co/oKAj8aV5GP,other
127,Looking for an interesting read? This man is unstoppable #ScottHaze #Mully @AmericanAir https://t.co/Tve2owmVSJ,other
128,@786388 @AirAsiaSupport Better take refund,payment
129,@Uber_Support No one has resolved it till now? I need answer is Etios Liva a Sedan and what action you have taken against driver for talking on phone?,other
130,@AmazonHelp Just realised that the Knorr beef stock cubes that I ordered are also missing. Could you help me with this so I don’t have to hold for 15 min again? Also I would like to cancel this subscription ASAP. How can I do that?,other
131,Asked my @115879 driver nicely to switch from right wing talk radio to music. He declined. This is a fun ride.,other
132,@AmazonHelp Unaddressed issues r remaining unresolved since months and you are just escalating and requesting me to wait further. No refund since months,technical
133,"Hey @115825, könnt ihr bei Gelegenheit mal die deutsche Tonspur der King of Queens S04E24 austauschen? Da ist die Tonspur der vorherigen Folge drin. Die englische Tonspur funktioniert einwandfrei.",other
134,"@TMobileHelp I apologize for my behavior, let’s work this out like civilized people.",other
135,@VirginTrains what's the sitch with delay repay if I have an anytime return ticket and the train I was planning on getting was cancelled?,other
136,"@AmericanAir It felt I was so restricted and I am just a medium size human being, especially for a 6 hour flight, something needs to be done, it felt unacceptable, please do something",other
137,"@Delta in the air on delayed 2057, will prob miss connection in ATL to GSP. Can u help please ?
Ric Rosenbaum
#2128647449",other
138,"@115879 nah nigga. Gimme my $10 “no-show” fee right back, my app froze and didn’t tell me the driver was here. We gon do this right here",technical
139,@TMobileHelp Another bot.,other
140,@AmericanAir So is there no way I can check in online now for my flight?,other
141,@VerizonSupport But this is only happening to people who have Verizon and if this keeps up people will take actions like switching ISP.,technical
142,@Delta @207516 @207516 has 3 Emmy’s.  He’s very important.  Perhaps this little hiccup can be resolved with a Pope Bottle Opener.  #FlyLinoHome,other
143,@115714 They offered less than 25% of that BS restocking fee back. I'm insulted.,other
144,@115850 My order id is 404-1796907-6903540 is please look into this matter asap and please try to contact us very soon I want this product,other
145,Yo @116136 @115900 what'd ya'll do wit my upload ??? https://t.co/9Akoq42SJU,other
146,@401338 @ATVIAssist  https://t.co/oUcq6ZKhx7,other
147,知らない間にAmazonプライムの会員になっちゃってたわ。記憶ねーから怖い,other
148,@SouthwestAir how long does it take for points from a partner company to transfer to southwest rapid rewards?,other
